   s  energy(a.u.)
  -9.988  -1224.725743671  
  -9.958  -1224.725727287  
  -9.928  -1224.725710845  
  -9.898  -1224.725694344  
  -9.868  -1224.725677784  
  -9.838  -1224.725661165  
  -9.808  -1224.725644488  
  -9.778  -1224.725627753  
  -9.748  -1224.725610958  
  -9.718  -1224.725594105  
  -9.688  -1224.725577194  
  -9.658  -1224.725560224  
  -9.628  -1224.725543195  
  -9.598  -1224.725526108  
  -9.568  -1224.725508962  
  -9.538  -1224.725491757  
  -9.508  -1224.725474494  
  -9.478  -1224.725457173  
  -9.448  -1224.725439793  
  -9.418  -1224.725422355  
  -9.388  -1224.725404858  
  -9.358  -1224.725387303  
  -9.328  -1224.725369690  
  -9.298  -1224.725352019  
  -9.268  -1224.725334290  
  -9.238  -1224.725316504  
  -9.208  -1224.725298659  
  -9.178  -1224.725280758  
  -9.148  -1224.725262798  
  -9.118  -1224.725244782  
  -9.088  -1224.725226709  
  -9.058  -1224.725208579  
  -9.028  -1224.725190392  
  -8.998  -1224.725172149  
  -8.968  -1224.725153850  
  -8.938  -1224.725135495  
  -8.908  -1224.725117085  
  -8.878  -1224.725098619  
  -8.848  -1224.725080098  
  -8.818  -1224.725061522  
  -8.788  -1224.725042891  
  -8.758  -1224.725024207  
  -8.728  -1224.725005468  
  -8.698  -1224.724986676  
  -8.668  -1224.724967830  
  -8.638  -1224.724948931  
  -8.608  -1224.724929979  
  -8.578  -1224.724910974  
  -8.548  -1224.724891918  
  -8.518  -1224.724872809  
  -8.488  -1224.724853648  
  -8.458  -1224.724834435  
  -8.428  -1224.724815172  
  -8.398  -1224.724795856  
  -8.368  -1224.724776491  
  -8.338  -1224.724757074  
  -8.308  -1224.724737607  
  -8.278  -1224.724718089  
  -8.248  -1224.724698521  
  -8.218  -1224.724678903  
  -8.188  -1224.724659235  
  -8.158  -1224.724639517  
  -8.128  -1224.724619749  
  -8.098  -1224.724599931  
  -8.068  -1224.724580064  
  -8.038  -1224.724560148  
  -8.008  -1224.724540181  
  -7.978  -1224.724520165  
  -7.948  -1224.724500100  
  -7.918  -1224.724479985  
  -7.888  -1224.724459821  
  -7.858  -1224.724439607  
  -7.828  -1224.724419344  
  -7.798  -1224.724399031  
  -7.768  -1224.724378668  
  -7.738  -1224.724358256  
  -7.708  -1224.724337795  
  -7.678  -1224.724317284  
  -7.648  -1224.724296723  
  -7.618  -1224.724276113  
  -7.588  -1224.724255453  
  -7.558  -1224.724234743  
  -7.528  -1224.724213984  
  -7.498  -1224.724193176  
  -7.468  -1224.724172317  
